BUSINESS_IMPACT_THEME,INCIDENT_NUMBER,SHORT_DESCRIPTION,ASSIGNMENT_GROUP,OPENED_AT,CLOSED_AT,CLOSE_CODE,CLOSE_NOTES,VALUE_STREAM,PRIMARY_SYSTEM,PATTERN_ID,ROOT_CAUSE_ID,RESOLUTION_TYPE,LINKED_INCIDENT,RECURRING_FLAG,DATA_ORIGIN,EBS_MODULE,OPENED_BY,ASSIGNED_TO,PRIORITY,IMPACT,URGENCY,STATE,SLA_DUE,INVOICE_AMOUNT,CURRENCY,COUNTERPARTY,COUNTERPARTY_TYPE,COUNTERPARTY_TIER,FINANCIAL_BAND,BUSINESS_FLAGS
Revenue/order lifecycle,INC0909168,I need the SO header for the following list of Projects to be re-opened. Changes need to be made for audit purposes.,OMCS-ERP-Alice-QTD,2025-03-17 09:00:00,2025-07-27 09:00:00,Configuration,We have sent multiple reminders but no response from user hence closing this ticket.,QTD,EBS,PAT-SOREOPEN,RCA-11,No user response,,N,REAL,ONT,Mark Olsen,Wei Zhang,P3,Medium,Medium,In Progress,2025-03-18 09:00:00,,,,,,,
Receiving transaction stuck,INC0998890,"Receiving issue: DN 2351536 - Shows as 'pending to receive', after receiving and quantity now shows 0 instead of 2.Previous ticket # INC0985197",OMCS-ERP-Alice-PTM,2025-10-21 09:00:00,2025-11-29 09:00:00,Data Fix,"""Issue: Receiving issue for Delivery Note (DN) 2351536 - The status showed as """"Pending to Receive."""" After the user attempted to receive the items, the quantity displayed as 0 instead of 2.  Solution: The records were stuck in the RCV_INTERFACE table. We applied a data fix (SBM - 090351) to clear these records, and after that, the user was able to successfully complete the receiving process with",PTM,EBS,PAT-RCV,RCA-05,Data fix SBM-090351,INC0985197,Y,REAL,INV,Liam Donovan,Wei Zhang,P2,Medium,High,In Progress,2025-10-21 17:00:00,,,,,,,Recurring issue
CCB processing issue,INC0899046,Good day!Kindly assist in investigating and providing a workaround for the CCB Report Error for CO-1086259.Thank you!,Oracle-Alice-Item-MDM,2025-02-21 09:00:00,2025-02-28 09:00:00,User/Training Issue,"Closing after multiple reminders  Closing notes: Final reminder  Hi,  Root-cause: The old revision has bigger than the new revision. This will throw error as the new revision should be equal or higher than the old revision.  Please reject the CO and move it back to pending, use a greater revision than the old revision and then re-push the CO to submitted and CCB.  Regards, Meet Meghani",Item-MDM,ITEM_MDM,PAT-CCB-REV,RCA-03,"Reject CO, re-sequence revision",,N,REAL,INV,Racquel Tan,Meet Meghani,P4,Low,Low,On Hold,2025-02-24 09:00:00,,,,,,,
Data corruption / order cancellation,INC0899823,Cloud2EBS Implementation - Order Deletion Support,OMCS-ERP-Alice-QTD,2025-02-24 09:00:00,2025-03-03 09:00:00,Data Fix,caused by the PO not being unlinked after cancellation from DropShip. Data corruption.,QTD,EBS,PAT-DROPSHIP,RCA-12,Data fix,,Y,REAL,ONT,Tomas Novak,Wei Zhang,P2,Medium,High,On Hold,2025-02-24 17:00:00,,,,,,,Recurring issue
Revenue recognition issue,INC0899936,"Obligation error for Project 212539, SO 5013452.  Can not recognize revenue.",Oracle-EBS-Alice-PTC,2025-02-24 09:00:00,2025-03-03 09:00:00,Functional Configuration,Issue Resolved. User is now able to bill.,PTC,EBS,PAT-OBLIG,RCA-13,Functional config,,N,REAL,AR,Racquel Tan,Ravi Menon,P3,Medium,Medium,On Hold,2025-02-25 09:00:00,,,,,,,
Duplicate CCO generation,INC0899839,"Related to INC0890340CCO-96144/CCO-96158/'CCO-96150 created under CO-1077420 however no revised items fetched, please help us understand why we have unnecessa",Oracle-Alice-Item-MDM,2025-02-24 09:00:00,2025-03-03 09:00:00,User/Training Issue,"Closing after multiple reminders  Closing notes:  Hi Mark,  I can only fetch CCO-96158 from the CO-1077420, for the other CCOs, can you please mention the correct CO number. Moreover the CCO had error as it can be seen in the CCB report, 'Error in CCO Creation: CCO-002-BUY-96158-CO-1077420API Error:10:Your latest revision for item 60140480P1 is A from ECO CCO-96138'  I hope this resolves your issu",Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Revision/CO correction,INC0890340,Y,REAL,INV,Liam Donovan,Greta Hoffmann,P2,Medium,High,In Progress,2025-02-24 17:00:00,,,,,,,Recurring issue
NRCO/CCB integration issue,INC0899788,Good day!Kindly assist in investigating the root cause and the workaround for the CCB Report error encountered in NRCO-1019685. CCB Report attached. Tha,Oracle-Alice-Item-MDM,2025-02-24 09:00:00,2025-03-01 09:00:00,Closed/Resolved by Caller,Closed by Caller,Item-MDM,ITEM_MDM,PAT-CCB-REV,RCA-03,Caller resolved,,N,REAL,INV,Tomas Novak,Meet Meghani,P3,Medium,Medium,In Progress,2025-02-25 09:00:00,,,,,,,
Data corruption / order cancellation,INC0899829,please see attached email file.,OMCS-ERP-Alice-QTD,2025-02-24 09:00:00,2025-03-06 09:00:00,Data Fix,caused by the PO not being unlinked after cancellation from DropShip. Data corruption.  Datafix applied for the same.,QTD,EBS,PAT-DROPSHIP,RCA-12,Data fix applied,,Y,REAL,ONT,Tomas Novak,Vikram Raju,P2,Medium,High,New,2025-02-24 17:00:00,,,,,,,Recurring issue
Contract generation anomaly,INC0897635,"We just had conversation with Kaur, Amanpreet last week which confirmed to us that it is only 1 order number for 1 contract number. could you please explain on",Oracle-EBS-Alice-Services,2025-02-19 09:00:00,2025-02-20 09:00:00,,"Hi James,  We have converted the incident#INC0897635 into task#SCTASK1678224/RITM1018249. We have raised an SR# 3-39808834811 with Oracle and working on resolving it. Please track the progress on the task number. Please ping me in teams if you have any questions/concerns.     Regards, Soumya",Services,EBS,PAT-CONTRACT,RCA-14,Oracle SR raised,,N,REAL,OKS,Kenji Watanabe,Ravi Menon,P3,Medium,Medium,In Progress,2025-02-20 09:00:00,,,,,,,
Scheduling/debrief systemic issue,INC0899325,the file is refreshed again with unencrypted data,Oracle-EBS-Alice-Services,2025-02-21 09:00:00,2025-02-24 09:00:00,Canceled,Canceled by an incident administrator,Services,EBS,PAT-CONTRACT,RCA-14,Cancelled,,N,REAL,OKS,Amanpreet Kaur,Ravi Menon,P3,Medium,Medium,On Hold,2025-02-22 09:00:00,,,,,,,
CCO creation inconsistency,INC1100370,"CCO-96142 created under CO-1149823 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-05-22 09:00:00,2025-06-21 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,User guidance,,N,SYNTHETIC,INV,Melanie Cruz,Meet Meghani,P4,Low,Low,In Progress,2025-05-25 09:00:00,,,,,,,
CCO creation inconsistency,INC1100547,"CCO-96273 created under CO-1122431 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-11-27 09:00:00,2025-12-25 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Manual workaround,INC828785,Y,SYNTHETIC,INV,James Whitfield,Meet Meghani,P2,Medium,High,In Progress,2025-11-27 17:00:00,,,,,,,Recurring issue
Revision sync issue,INC1100792,Item 10073232 revision mismatch: PD shows A but EBS shows 00 after CO-1141347 not interfaced,Oracle-Alice-Item-MDM,2025-11-05 09:00:00,2025-12-09 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Manual workaround,,N,SYNTHETIC,INV,Amanpreet Kaur,Greta Hoffmann,P4,Low,Low,New,2025-11-08 09:00:00,,,,,,,
CCB processing issue,INC1101063,CCB report error for CO-1173579: old revision higher than new revision,Oracle-Alice-Item-MDM,2025-03-16 09:00:00,2025-04-03 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,Item-MDM,ITEM_MDM,PAT-CCB-REV,RCA-03,Functional config,,N,SYNTHETIC,INV,Kenji Watanabe,Greta Hoffmann,P4,Low,Low,In Progress,2025-03-19 09:00:00,,,,,,,
Revision sync issue,INC1101344,Item 10076238 revision mismatch: PD shows A but EBS shows 00 after CO-1182240 not interfaced,Oracle-Alice-Item-MDM,2025-08-09 09:00:00,2025-09-18 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Functional config,,N,SYNTHETIC,INV,Mark Olsen,Meet Meghani,P3,Medium,Medium,On Hold,2025-08-10 09:00:00,,,,,,,
Revision sync issue,INC1101356,Item 10076238 revision mismatch: PD shows C but EBS shows 00 after CO-1170381 not interfaced,Oracle-Alice-Item-MDM,2025-08-24 09:00:00,2025-09-24 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,User guidance,,N,SYNTHETIC,INV,Melanie Cruz,Greta Hoffmann,P3,Medium,Medium,In Progress,2025-08-25 09:00:00,,,,,,,
Receiving transaction stuck,INC1101643,"Receiving issue DN 2456471: stuck in RCV_INTERFACE, quantity shows 0",OMCS-ERP-Alice-PTM,2025-03-25 09:00:00,2025-04-17 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,PTM,EBS,PAT-RCV,RCA-05,Data fix,,N,SYNTHETIC,INV,Kenji Watanabe,Anil Kapoor,P4,Low,Low,In Progress,2025-03-28 09:00:00,,,,,,,
Revision sync issue,INC1101694,Item 10073978P1 revision mismatch: PD shows B but EBS shows 00 after CO-1164042 not interfaced,Oracle-Alice-Item-MDM,2025-10-03 09:00:00,2025-11-24 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Config fix,,N,SYNTHETIC,INV,Sara Lindqvist,Meet Meghani,P3,Medium,Medium,In Progress,2025-10-04 09:00:00,,,,,,,
Daily order processing outage,INC1101981,APPTREE_EVENT error in Oracle EBS blocking order processing,Oracle-EBS-Alice-OSA-PTM,2025-04-25 09:00:00,2025-05-24 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,PTM,EBS,PAT-APPTREE,RCA-08,Change/Code,INC855461,Y,SYNTHETIC,INV,Mark Olsen,Anil Kapoor,P2,Medium,High,New,2025-04-25 17:00:00,,,,,,,Recurring issue
Revenue recognition issue,INC1102024,"Obligation error for Project 217177 SO 5067839, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-04-11 09:00:00,2025-05-01 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,PTC,EBS,PAT-OBLIG,RCA-13,Functional config,,N,SYNTHETIC,AR,Amanpreet Kaur,James Whitfield,P3,Medium,Medium,In Progress,2025-04-12 09:00:00,,,,,,,
Warehouse/plant sync issue,INC1102298,Unable to change plant on order 130942 due to validation error,OMCS-ERP-Alice-QTD,2025-02-08 09:00:00,2025-03-09 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,QTD,EBS,PAT-PLANT,RCA-10,Config fix,INC843309,Y,SYNTHETIC,ONT,Melanie Cruz,Vikram Raju,P2,Medium,High,On Hold,2025-02-08 17:00:00,,,,,,,Recurring issue
Data corruption / order cancellation,INC1102646,Order 204847 data corruption: PO not unlinked after DropShip cancellation,OMCS-ERP-Alice-QTD,2025-02-14 09:00:00,2025-03-12 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,QTD,EBS,PAT-DROPSHIP,RCA-12,Functional config,,N,SYNTHETIC,ONT,James Whitfield,Vikram Raju,P3,Medium,Medium,In Progress,2025-02-15 09:00:00,,,,,,,
CPQ/EBS submission failure,INC1102784,CPQ-912899 unable to submit order due to error,Oracle-EBS-Alice-QTD,2025-02-07 09:00:00,2025-03-07 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,QTD,EBS,PAT-CPQ,RCA-07,Manual workaround,,N,SYNTHETIC,ONT,Tomas Novak,Vikram Raju,P3,Medium,Medium,In Progress,2025-02-08 09:00:00,,,,,,,
Planning system issue,INC1103071,Hard pegging issue for item 10080473 in Test and Production,Oracle-EBS-Alice-PTM,2025-11-27 09:00:00,2025-12-01 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,PTM,EBS,PAT-PEG,RCA-09,Change/Code,,N,SYNTHETIC,INV,Grace Mwangi,Anil Kapoor,P4,Low,Low,In Progress,2025-11-30 09:00:00,,,,,,,
CCO creation inconsistency,INC1103217,"CCO-96248 created under CO-1153269 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-07-26 09:00:00,2025-08-26 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Functional config,,N,SYNTHETIC,INV,Tomas Novak,Meet Meghani,P3,Medium,Medium,In Progress,2025-07-27 09:00:00,,,,,,,
Daily order processing outage,INC1103259,APPTREE_EVENT error in Oracle EBS blocking order processing,Oracle-EBS-Alice-OSA-PTM,2025-09-24 09:00:00,2025-10-11 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,PTM,EBS,PAT-APPTREE,RCA-08,Config fix,,N,SYNTHETIC,INV,Kenji Watanabe,Wei Zhang,P3,Medium,Medium,New,2025-09-25 09:00:00,,,,,,,
Revision sync issue,INC1103615,Item 10076460P1 revision mismatch: PD shows C but EBS shows 00 after CO-1162493 not interfaced,Oracle-Alice-Item-MDM,2025-02-08 09:00:00,2025-03-13 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Data fix,,N,SYNTHETIC,INV,Sara Lindqvist,Greta Hoffmann,P3,Medium,Medium,In Progress,2025-02-09 09:00:00,,,,,,,
CCO creation inconsistency,INC1103759,"CCO-96304 created under CO-1175880 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-06-07 09:00:00,2025-07-22 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Change/Code,,N,SYNTHETIC,INV,Amanpreet Kaur,Meet Meghani,P4,Low,Low,In Progress,2025-06-10 09:00:00,,,,,,,
Revenue recognition issue,INC1104004,"Obligation error for Project 214915 SO 5059929, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-01-20 09:00:00,2025-02-19 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,PTC,EBS,PAT-OBLIG,RCA-13,User guidance,INC809508,Y,SYNTHETIC,AR,Racquel Tan,James Whitfield,P2,Medium,High,In Progress,2025-01-20 17:00:00,,,,,,,Recurring issue
CCO creation inconsistency,INC1104293,"CCO-96259 created under CO-1127938 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-08-23 09:00:00,2025-09-10 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,User guidance,,N,SYNTHETIC,INV,Kenji Watanabe,Greta Hoffmann,P3,Medium,Medium,In Progress,2025-08-24 09:00:00,,,,,,,
Warehouse/plant sync issue,INC1104587,Unable to change plant on order 202692 due to validation error,OMCS-ERP-Alice-QTD,2025-02-05 09:00:00,2025-03-09 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,QTD,EBS,PAT-PLANT,RCA-10,User guidance,,N,SYNTHETIC,ONT,Melanie Cruz,Vikram Raju,P3,Medium,Medium,In Progress,2025-02-06 09:00:00,,,,,,,
Receiving transaction stuck,INC1104922,"Receiving issue DN 2747171: stuck in RCV_INTERFACE, quantity shows 0",OMCS-ERP-Alice-PTM,2025-02-14 09:00:00,2025-03-27 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,PTM,EBS,PAT-RCV,RCA-05,User guidance,INC806658,Y,SYNTHETIC,INV,Liam Donovan,Anil Kapoor,P2,Medium,High,In Progress,2025-02-14 17:00:00,,,,,,,Recurring issue
Receiving transaction stuck,INC1104990,"Receiving issue DN 2634030: stuck in RCV_INTERFACE, quantity shows 0",OMCS-ERP-Alice-PTM,2025-01-03 09:00:00,2025-02-23 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,PTM,EBS,PAT-RCV,RCA-05,Change/Code,INC873519,Y,SYNTHETIC,INV,Melanie Cruz,Anil Kapoor,P2,Medium,High,In Progress,2025-01-03 17:00:00,,,,,,,Recurring issue
CCB processing issue,INC1105184,CCB report error for CO-1148393: old revision higher than new revision,Oracle-Alice-Item-MDM,2025-01-07 09:00:00,2025-02-22 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,Item-MDM,ITEM_MDM,PAT-CCB-REV,RCA-03,User guidance,,N,SYNTHETIC,INV,Mark Olsen,Greta Hoffmann,P3,Medium,Medium,On Hold,2025-01-08 09:00:00,,,,,,,
Order progression / holds,INC1105365,"Order 211351 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-03-26 09:00:00,2025-04-14 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,QTD,EBS,PAT-HOLD,RCA-04,Data fix,INC803248,Y,SYNTHETIC,ONT,Melanie Cruz,Vikram Raju,P2,Medium,High,In Progress,2025-03-26 17:00:00,,,,,,,Recurring issue
Data corruption / order cancellation,INC1105532,Order 144168 data corruption: PO not unlinked after DropShip cancellation,OMCS-ERP-Alice-QTD,2025-06-27 09:00:00,2025-07-26 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,QTD,EBS,PAT-DROPSHIP,RCA-12,Data fix,INC860332,Y,SYNTHETIC,ONT,Fatima Noor,Vikram Raju,P2,Medium,High,In Progress,2025-06-27 17:00:00,,,,,,,Recurring issue
Order progression / holds,INC1105817,"Order 182227 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-11-11 09:00:00,2025-12-01 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,QTD,EBS,PAT-HOLD,RCA-04,User guidance,INC852386,Y,SYNTHETIC,ONT,Diego Alvarez,Vikram Raju,P2,Medium,High,On Hold,2025-11-11 17:00:00,,,,,,,Recurring issue
CCO creation inconsistency,INC1106089,"CCO-96135 created under CO-1176099 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-10-04 09:00:00,2025-11-13 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Manual workaround,INC857199,Y,SYNTHETIC,INV,Melanie Cruz,Meet Meghani,P2,Medium,High,In Progress,2025-10-04 17:00:00,,,,,,,Recurring issue
Warehouse/plant sync issue,INC1106440,Unable to change plant on order 187154 due to validation error,OMCS-ERP-Alice-QTD,2025-02-11 09:00:00,2025-03-20 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,QTD,EBS,PAT-PLANT,RCA-10,Data fix,,N,SYNTHETIC,ONT,James Whitfield,Vikram Raju,P3,Medium,Medium,In Progress,2025-02-12 09:00:00,,,,,,,
Integration failure,INC1106549,Delivery 2649643 not transmitting from EBS to BluJay,Oracle-EBS-Alice-OSA-PTM,2025-03-14 09:00:00,2025-04-22 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,PTM,EBS,PAT-BLUJAY,RCA-06,Manual workaround,,N,SYNTHETIC,INV,James Whitfield,Anil Kapoor,P4,Low,Low,New,2025-03-17 09:00:00,,,,,,,
CPQ/EBS submission failure,INC1106870,CPQ-900053 unable to submit order due to error,Oracle-EBS-Alice-QTD,2025-10-21 09:00:00,2025-11-11 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,QTD,EBS,PAT-CPQ,RCA-07,Data fix,,N,SYNTHETIC,ONT,Liam Donovan,Wei Zhang,P3,Medium,Medium,In Progress,2025-10-22 09:00:00,,,,,,,
Daily order processing outage,INC1106928,APPTREE_EVENT error in Oracle EBS blocking order processing,Oracle-EBS-Alice-OSA-PTM,2025-06-27 09:00:00,2025-07-25 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,PTM,EBS,PAT-APPTREE,RCA-08,Change/Code,INC881167,Y,SYNTHETIC,INV,Grace Mwangi,Anil Kapoor,P2,Medium,High,In Progress,2025-06-27 17:00:00,,,,,,,Recurring issue
Order progression / holds,INC1107233,"Order 133201 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-11-07 09:00:00,2025-12-23 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,QTD,EBS,PAT-HOLD,RCA-04,Config fix,,N,SYNTHETIC,ONT,James Whitfield,Wei Zhang,P4,Low,Low,On Hold,2025-11-10 09:00:00,,,,,,,
Revenue recognition issue,INC1107481,"Obligation error for Project 211746 SO 5055724, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-09-02 09:00:00,2025-10-18 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,PTC,EBS,PAT-OBLIG,RCA-13,Data fix,,N,SYNTHETIC,AR,Kenji Watanabe,James Whitfield,P3,Medium,Medium,In Progress,2025-09-03 09:00:00,,,,,,,
Order progression / holds,INC1107772,"Order 217500 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-07-15 09:00:00,2025-08-06 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,QTD,EBS,PAT-HOLD,RCA-04,Change/Code,INC866162,Y,SYNTHETIC,ONT,Liam Donovan,Vikram Raju,P2,Medium,High,On Hold,2025-07-15 17:00:00,,,,,,,Recurring issue
Revenue recognition issue,INC1107822,"Obligation error for Project 214543 SO 5068327, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-08-23 09:00:00,2025-09-10 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,PTC,EBS,PAT-OBLIG,RCA-13,Functional config,INC835992,Y,SYNTHETIC,AR,Fatima Noor,Ravi Menon,P2,Medium,High,On Hold,2025-08-23 17:00:00,,,,,,,Recurring issue
